"","V1"
"ST44SA_median",668
"ST44SA_mode",689
"ST44SA_IQR",136
"ST45SA_mean",1634.65753424658
"ST45SA_sd",284.813741240466
"ST45SA_median",1528
"ST45SA_mode",1528
"ST45SA_IQR",394
"ST46SA_mean",617.86301369863
"ST46SA_sd",79.2123228117691
"ST46SA_median",616
"ST46SA_mode",615
"ST46SA_IQR",111
"ST47SA_mean",1266.38356164384
"ST47SA_sd",165.220360439642
"ST47SA_median",1265
"ST47SA_mode",962
"ST47SA_IQR",253
"ST48SA_mean",1280.01369863014
"ST48SA_sd",193.680686035223
"ST48SA_median",1258
"ST48SA_mode",1151
"ST48SA_IQR",259
"ST49SA_mean",4223.12328767123
"ST49SA_sd",434.04774267628
"ST49SA_median",4217
"ST49SA_mode",4217
"ST49SA_IQR",506
"ST50SA_mean",1116.41095890411
"ST50SA_sd",152.673201790298
"ST50SA_median",1097
"ST50SA_mode",1076
"ST50SA_IQR",200
"ST51SA_mean",5061.2602739726
"ST51SA_sd",436.60324053988
"ST51SA_median",5029
"ST51SA_mode",4507
"ST51SA_IQR",575
"ST52SA_mean",3536.65753424658
"ST52SA_sd",426.88839353246
"ST52SA_median",3577
"ST52SA_mode",2666
"ST52SA_IQR",487
"ST54SA_mean",824.835616438356
"ST54SA_sd",158.605994500929
"ST54SA_median",832
"ST54SA_mode",663
"ST54SA_IQR",173
"ST55SA_mean",5719.46575342466
"ST55SA_sd",673.350249007647
"ST55SA_median",5746
"ST55SA_mode",4842
"ST55SA_IQR",1062
