"","V1"
"ST44TA_median",2.723
"ST44TA_mode",2.639
"ST44TA_IQR",0.2605
"ST45TA_mean",2.4175
"ST45TA_sd",0.158899846728443
"ST45TA_median",2.415
"ST45TA_mode",2.299
"ST45TA_IQR",0.237
"ST46TA_mean",2.5056875
"ST46TA_sd",0.250921969300058
"ST46TA_median",2.5185
"ST46TA_mode",2.024
"ST46TA_IQR",0.27975
"ST47TA_mean",2.27984375
"ST47TA_sd",0.161357569146811
"ST47TA_median",2.254
"ST47TA_mode",2.51
"ST47TA_IQR",0.27675
"ST48TA_mean",1.59253125
"ST48TA_sd",0.122488705042152
"ST48TA_median",1.5975
"ST48TA_mode",1.302
"ST48TA_IQR",0.13925
"ST49TA_mean",1.88809375
"ST49TA_sd",0.126456000093619
"ST49TA_median",1.892
"ST49TA_mode",1.7
"ST49TA_IQR",0.19925
"ST50TA_mean",2.4360625
"ST50TA_sd",0.191288489696381
"ST50TA_median",2.414
"ST50TA_mode",2.506
"ST50TA_IQR",0.205
"ST51TA_mean",2.336875
"ST51TA_sd",0.174211726948709
"ST51TA_median",2.3645
"ST51TA_mode",1.857
"ST51TA_IQR",0.236
"ST52TA_mean",2.21215625
"ST52TA_sd",0.163842195789021
"ST52TA_median",2.172
"ST52TA_mode",2.168
"ST52TA_IQR",0.203
"ST54TA_mean",2.75503125
"ST54TA_sd",0.247993949506708
"ST54TA_median",2.7345
"ST54TA_mode",2.163
"ST54TA_IQR",0.3355
