"","V1"
"ST43TA_IQR",0.18
"ST44TA_mean",2.69324657534247
"ST44TA_sd",0.338117245477804
"ST44TA_median",2.698
"ST44TA_mode",2.631
"ST44TA_IQR",0.454
"ST45TA_mean",2.39397260273973
"ST45TA_sd",0.133839349449955
"ST45TA_median",2.381
"ST45TA_mode",2.323
"ST45TA_IQR",0.203
"ST46TA_mean",2.49584931506849
"ST46TA_sd",0.212776334786925
"ST46TA_median",2.498
"ST46TA_mode",2.573
"ST46TA_IQR",0.292
"ST47TA_mean",2.25904109589041
"ST47TA_sd",0.184121897903729
"ST47TA_median",2.248
"ST47TA_mode",2
"ST47TA_IQR",0.224
"ST48TA_mean",1.57779452054795
"ST48TA_sd",0.145515172834705
"ST48TA_median",1.588
"ST48TA_mode",1.492
"ST48TA_IQR",0.216
"ST49TA_mean",1.90608219178082
"ST49TA_sd",0.157136949596404
"ST49TA_median",1.921
"ST49TA_mode",1.795
"ST49TA_IQR",0.187
"ST50TA_mean",2.52128767123288
"ST50TA_sd",0.200855149537896
"ST50TA_median",2.478
"ST50TA_mode",2.338
"ST50TA_IQR",0.27
"ST51TA_mean",2.33764383561644
"ST51TA_sd",0.172318613963835
"ST51TA_median",2.362
"ST51TA_mode",1.989
"ST51TA_IQR",0.212
"ST52TA_mean",2.26297260273973
"ST52TA_sd",0.144837933624941
"ST52TA_median",2.263
"ST52TA_mode",2.101
"ST52TA_IQR",0.203
"ST54TA_mean",2.82941095890411
"ST54TA_sd",0.270040214886621
"ST54TA_median",2.855
"ST54TA_mode",2.481
"ST54TA_IQR",0.384
