"","V1"
"ST44SA_median",710
"ST44SA_mode",745
"ST44SA_IQR",135
"ST45SA_mean",1658.09375
"ST45SA_sd",259.710305032978
"ST45SA_median",1663.5
"ST45SA_mode",1115
"ST45SA_IQR",265.5
"ST46SA_mean",620.21875
"ST46SA_sd",84.3948990871811
"ST46SA_median",602
"ST46SA_mode",542
"ST46SA_IQR",121
"ST47SA_mean",1294.34375
"ST47SA_sd",188.778690940545
"ST47SA_median",1300
"ST47SA_mode",951
"ST47SA_IQR",181.75
"ST48SA_mean",1336.65625
"ST48SA_sd",224.257859843558
"ST48SA_median",1349.5
"ST48SA_mode",956
"ST48SA_IQR",331.75
"ST49SA_mean",4420.34375
"ST49SA_sd",675.140683517386
"ST49SA_median",4358
"ST49SA_mode",4505
"ST49SA_IQR",589.75
"ST50SA_mean",1151.5625
"ST50SA_sd",173.097201389948
"ST50SA_median",1148.5
"ST50SA_mode",879
"ST50SA_IQR",185.5
"ST51SA_mean",5158.21875
"ST51SA_sd",621.534715215282
"ST51SA_median",5203.5
"ST51SA_mode",3897
"ST51SA_IQR",761.5
"ST52SA_mean",3707.90625
"ST52SA_sd",363.760232923352
"ST52SA_median",3748
"ST52SA_mode",3001
"ST52SA_IQR",539.75
"ST54SA_mean",889.5
"ST54SA_sd",174.581896855537
"ST54SA_median",847
"ST54SA_mode",618
"ST54SA_IQR",276
"ST55SA_mean",5771.25
"ST55SA_sd",715.659857933966
"ST55SA_median",5618
"ST55SA_mode",4872
"ST55SA_IQR",1060.25
